id,prediction,Classification
k141_3411334_1,0.17,non-AMP
k141_3411334_2,0.65,non-AMP
k141_3411334_3,0.36,non-AMP
k141_3411334_4,0.02,non-AMP
k141_3411334_5,0.48,non-AMP
k141_3411334_6,0.41,non-AMP
k141_4321143_1,0.27,non-AMP
k141_4321143_2,0.58,non-AMP
k141_4321143_3,0.38,non-AMP
k141_4321143_4,0.58,non-AMP
k141_4321143_5,0.13,non-AMP
k141_4321143_6,0.29,non-AMP
k141_4321143_7,0.51,non-AMP
k141_4321143_8,0.36,non-AMP
k141_4321143_9,0.29,non-AMP
k141_4321143_10,0.5,non-AMP
k141_4321143_11,0.54,non-AMP
k141_4321143_12,0.39,non-AMP
k141_4321143_13,0.56,non-AMP
k141_4321143_14,0.62,non-AMP
k141_4321143_15,0.08,non-AMP
k141_4321143_16,0.62,non-AMP
k141_2217710_1,0.21,non-AMP
k141_2217710_2,0.64,non-AMP
k141_2217710_3,0.66,non-AMP
k141_2217710_4,0.36,non-AMP
k141_2217710_5,0.2,non-AMP
k141_2217710_6,0.65,non-AMP
k141_2217710_7,0.66,non-AMP
k141_2217710_8,0.5,non-AMP
k141_2217710_9,0.55,non-AMP
k141_2217710_10,0.68,non-AMP
k141_2217710_11,0.78,AMP
k141_2217710_12,0.23,non-AMP
k141_2217710_13,0.7,non-AMP
k141_3752832_1,0.46,non-AMP
k141_3752832_2,0.44,non-AMP
k141_3752832_3,0.59,non-AMP
k141_3752832_4,0.59,non-AMP
k141_3752832_5,0.74,non-AMP
k141_3752832_6,0.5,non-AMP
k141_3752832_7,0.19,non-AMP
k141_2843133_1,0.55,non-AMP
k141_2843133_2,0.38,non-AMP
k141_2843133_3,0.61,non-AMP
k141_2843133_4,0.54,non-AMP
k141_2843133_5,0.66,non-AMP
k141_2843133_6,0.45,non-AMP
k141_2843133_7,0.21,non-AMP
k141_2843133_8,0.74,non-AMP
k141_2843133_9,0.23,non-AMP
k141_2843133_10,0.33,non-AMP
k141_2843133_11,0.58,non-AMP
k141_2843133_12,0.64,non-AMP
k141_4321674_1,0.22,non-AMP
k141_4321674_2,0.38,non-AMP
k141_4321674_3,0.34,non-AMP
k141_4321674_4,0.58,non-AMP
k141_4321674_5,0.78,AMP
k141_4321674_6,0.33,non-AMP
k141_4321674_7,0.47,non-AMP
k141_853517_1,0.12,non-AMP
k141_853517_2,0.72,non-AMP
k141_853517_3,0.7,non-AMP
k141_3071486_1,0.22,non-AMP
k141_3071486_2,0.57,non-AMP
k141_3071486_3,0.57,non-AMP
k141_3071486_4,0.28,non-AMP
k141_3071486_5,0.3,non-AMP
k141_3071486_6,0.44,non-AMP
k141_3071486_7,0.71,non-AMP
k141_3071486_8,0.19,non-AMP
k141_3071486_9,0.57,non-AMP
k141_3071486_10,0.45,non-AMP
k141_3071486_11,0.42,non-AMP
k141_3071486_12,0.29,non-AMP
k141_3071486_13,0.45,non-AMP
k141_3071486_14,0.36,non-AMP
k141_2560222_1,0.19,non-AMP
k141_2560222_2,0.35,non-AMP
k141_2560222_3,0.46,non-AMP
k141_2560222_4,0.44,non-AMP
k141_2560222_5,0.29,non-AMP
k141_2560222_6,0.13,non-AMP
k141_2560222_7,0.28,non-AMP
k141_2560222_8,0.24,non-AMP
k141_2560222_9,0.06,non-AMP
k141_1082520_1,0.14,non-AMP
k141_1082520_2,0.39,non-AMP
k141_1082520_3,0.54,non-AMP
k141_1082520_4,0.06,non-AMP
k141_1082520_5,0.69,non-AMP
k141_1082520_6,0.7,non-AMP
k141_1082520_7,0.02,non-AMP
k141_1082520_8,0.23,non-AMP
k141_1082520_9,0.75,AMP
k141_1082520_10,0.71,non-AMP
